(-0.4837982000, 1.1880190000, 0.5026855000),(-0.0253435300, -0.1981966000, 0.0117727900, 0.9797639000),2/19/2021 11:00:24 AM
(-0.4838010000, 1.1879740000, 0.5028041000),(-0.0258744800, -0.1987174000, 0.0093589740, 0.9796705000),2/19/2021 11:00:25 AM
(-0.4839060000, 1.1885620000, 0.5021670000),(-0.0271876200, -0.1980316000, 0.0094772660, 0.9797727000),2/19/2021 11:00:25 AM
(-0.4841350000, 1.1878830000, 0.5028083000),(-0.0255562600, -0.1982767000, 0.0100776300, 0.9797611000),2/19/2021 11:00:25 AM
(-0.4838110000, 1.1879590000, 0.5030975000),(-0.0252355800, -0.1984875000, 0.0098638380, 0.9797289000),2/19/2021 11:00:25 AM
(-0.4843787000, 1.1878590000, 0.5026818000),(-0.0249226100, -0.1987766000, 0.0105905600, 0.9796706000),2/19/2021 11:00:25 AM
(-0.4846096000, 1.1877250000, 0.5028221000),(-0.0254421800, -0.1987164000, 0.0108183500, 0.9796670000),2/19/2021 11:00:25 AM
(-0.4842636000, 1.1879440000, 0.5028171000),(-0.0252111300, -0.1987392000, 0.0104927800, 0.9796719000),2/19/2021 11:00:25 AM
(-0.4842289000, 1.1879120000, 0.5023412000),(-0.0245354200, -0.1984261000, 0.0107818900, 0.9797494000),2/19/2021 11:00:25 AM
(-0.4841130000, 1.1877000000, 0.5023726000),(-0.0248145000, -0.1996553000, 0.0113652000, 0.9794860000),2/19/2021 11:00:25 AM
(-0.4840879000, 1.1881300000, 0.5019415000),(-0.0255985100, -0.1992110000, 0.0108359600, 0.9795623000),2/19/2021 11:00:25 AM
(-0.4840731000, 1.1882770000, 0.5022295000),(-0.0267212600, -0.1988482000, 0.0103895600, 0.9796109000),2/19/2021 11:00:26 AM
(-0.4843933000, 1.1877460000, 0.5018494000),(-0.0256035900, -0.1998072000, 0.0106320700, 0.9794430000),2/19/2021 11:00:26 AM
(-0.4849086000, 1.1875360000, 0.5011857000),(-0.0241797800, -0.1999655000, 0.0121349100, 0.9794294000),2/19/2021 11:00:26 AM
(-0.4852234000, 1.1885050000, 0.5008944000),(-0.0271760000, -0.2011449000, 0.0130915400, 0.9790969000),2/19/2021 11:00:26 AM
(-0.4845146000, 1.1886020000, 0.5012032000),(-0.0292340400, -0.1986777000, 0.0113962700, 0.9795625000),2/19/2021 11:00:26 AM
(-0.4846884000, 1.1882840000, 0.5015594000),(-0.0275568500, -0.1995289000, 0.0114710500, 0.9794372000),2/19/2021 11:00:26 AM
(-0.4847838000, 1.1872260000, 0.5027739000),(-0.0239951700, -0.1981597000, 0.0113755900, 0.9798100000),2/19/2021 11:00:26 AM
(-0.4850029000, 1.1871290000, 0.5025535000),(-0.0212909100, -0.1985443000, 0.0122480300, 0.9797841000),2/19/2021 11:00:26 AM
(-0.4852982000, 1.1871550000, 0.5025136000),(-0.0229266100, -0.1994533000, 0.0124719500, 0.9795597000),2/19/2021 11:00:26 AM
(-0.4848611000, 1.1876230000, 0.5024497000),(-0.0248812400, -0.1988712000, 0.0123869100, 0.9796314000),2/19/2021 11:00:26 AM
(-0.4849503000, 1.1877980000, 0.5019635000),(-0.0251323300, -0.1984184000, 0.0108315500, 0.9797353000),2/19/2021 11:00:27 AM
(-0.4847638000, 1.1877450000, 0.5018060000),(-0.0244164400, -0.1985169000, 0.0119437000, 0.9797205000),2/19/2021 11:00:27 AM
(-0.4848852000, 1.1877230000, 0.5015975000),(-0.0239210300, -0.1989038000, 0.0121582200, 0.9796516000),2/19/2021 11:00:27 AM
(-0.4850632000, 1.1879930000, 0.5014839000),(-0.0242371800, -0.1995015000, 0.0119096700, 0.9795253000),2/19/2021 11:00:27 AM
(-0.4849648000, 1.1876310000, 0.5019423000),(-0.0245005200, -0.1981764000, 0.0117245500, 0.9797900000),2/19/2021 11:00:27 AM
(-0.4849837000, 1.1875090000, 0.5021474000),(-0.0235895200, -0.1990368000, 0.0122512700, 0.9796315000),2/19/2021 11:00:27 AM
(-0.4848678000, 1.1873080000, 0.5019763000),(-0.0235736000, -0.1984555000, 0.0115274700, 0.9797586000),2/19/2021 11:00:27 AM
(-0.4849716000, 1.1876910000, 0.5022420000),(-0.0242811100, -0.1981057000, 0.0114791800, 0.9798127000),2/19/2021 11:00:27 AM
